Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Attend.
"Wed, Mar 6, 2019",New York Knicks,96,Phoenix Suns,107,"14,427"
"Wed, Mar 6, 2019",Boston Celtics,111,Sacramento Kings,109,"17,583"
"Wed, Mar 6, 2019",Denver Nuggets,115,Los Angeles Lakers,99,"18,997"
"Thu, Mar 7, 2019",Indiana Pacers,98,Milwaukee Bucks,117,"17,884"
"Thu, Mar 7, 2019",Oklahoma City Thunder,129,Portland Trail Blazers,121,"20,037"
"Fri, Mar 8, 2019",Washington Wizards,111,Charlotte Hornets,112,"18,144"
"Fri, Mar 8, 2019",Dallas Mavericks,106,Orlando Magic,111,"19,196"
"Fri, Mar 8, 2019",Detroit Pistons,112,Chicago Bulls,104,"21,048"
"Fri, Mar 8, 2019",Philadelphia 76ers,91,Houston Rockets,107,"18,055"
"Fri, Mar 8, 2019",Utah Jazz,104,Memphis Grizzlies,114,"15,407"
"Fri, Mar 8, 2019",Cleveland Cavaliers,110,Miami Heat,126,"19,600"
"Fri, Mar 8, 2019",Toronto Raptors,127,New Orleans Pelicans,104,"17,325"
"Fri, Mar 8, 2019",Denver Nuggets,105,Golden State Warriors,122,"19,596"
"Fri, Mar 8, 2019",Oklahoma City Thunder,110,Los Angeles Clippers,118,"17,915"
"Sat, Mar 9, 2019",Sacramento Kings,102,New York Knicks,94,"19,812"
"Sat, Mar 9, 2019",Brooklyn Nets,114,Atlanta Hawks,112,"16,527"
"Sat, Mar 9, 2019",Washington Wizards,130,Minnesota Timberwolves,135,"14,381"
"Sat, Mar 9, 2019",Boston Celtics,120,Los Angeles Lakers,107,"18,997"
"Sat, Mar 9, 2019",Charlotte Hornets,114,Milwaukee Bucks,131,"17,996"
"Sat, Mar 9, 2019",Phoenix Suns,120,Portland Trail Blazers,127,"19,851"
"Sun, Mar 10, 2019",Chicago Bulls,108,Detroit Pistons,131,"19,356"
"Sun, Mar 10, 2019",Toronto Raptors,125,Miami Heat,104,"19,600"
"Sun, Mar 10, 2019",Indiana Pacers,89,Philadelphia 76ers,106,"20,636"
